id	Amplitude	ContamPct	KSLabel	amplitude	channel	depth	firing_rate	group	n_spikes	shank
167	65.90000000	2.70000000	good	3.34854984	86	880.00000000	2.6 spk/s		15377	0
168	84.40000000	0.00000000	good	3.58335304	86	880.00000000	1.9 spk/s		11393	0
169	42.10000000	100.00000000	mua	2.65352440	86	880.00000000	1.1 spk/s		6513	0
170	39.80000000	4.90000000	good	3.11157751	86	880.00000000	3.3 spk/s		20078	0
172	76.60000000	0.20000000	good	3.68822026	88	900.00000000	5.5 spk/s		32894	0
173	83.80000000	6.30000000	good	3.33353734	88	900.00000000	1.0 spk/s		6230	0
174	61.20000000	4.60000000	good	2.60562158	89	900.00000000	2.8 spk/s		16975	0
175	25.60000000	100.00000000	good	1.85895550	89	900.00000000	0.0 spk/s		32	0
176	55.00000000	9.50000000	good	2.99486613	89	900.00000000	5.7 spk/s		34215	0
177	36.10000000	3.00000000	good	1.88580799	89	900.00000000	2.9 spk/s		17238	0
178	32.10000000	7.40000000	good	2.35326052	89	900.00000000	3.8 spk/s		22785	0
180	58.60000000	1.50000000	good	2.27979612	86	880.00000000	24.8 spk/s		149402	0
181	52.00000000	100.00000000	mua	3.34101677	90	920.00000000	2.9 spk/s		17273	0
182	27.50000000	0.80000000	good	2.54890156	90	920.00000000	4.5 spk/s		26864	0
184	47.90000000	7.80000000	good	3.36322498	90	920.00000000	2.5 spk/s		15248	0
185	69.20000000	0.00000000	good	2.73051405	92	940.00000000	0.5 spk/s		2950	0
186	59.20000000	0.00000000	good	2.94571447	92	940.00000000	5.5 spk/s		33010	0
187	24.40000000	0.60000000	good	2.20833635	93	940.00000000	2.2 spk/s		13018	0
188	58.20000000	1.60000000	good	2.81358171	93	940.00000000	3.7 spk/s		22053	0
189	29.00000000	100.00000000	mua	2.07719803	93	940.00000000	1.5 spk/s		9075	0
190	37.60000000	100.00000000	mua	2.56757164	93	940.00000000	1.9 spk/s		11228	0
191	35.40000000	9.50000000	good	2.54814386	93	940.00000000	2.9 spk/s		17369	0
192	33.60000000	9.10000000	good	2.74539995	97	980.00000000	5.3 spk/s		31886	0
193	30.50000000	100.00000000	mua	2.26795840	97	980.00000000	1.9 spk/s		11469	0
194	30.10000000	100.00000000	mua	2.19412422	96	980.00000000	1.3 spk/s		7793	0
195	34.20000000	100.00000000	mua	2.34265995	94	960.00000000	1.8 spk/s		10848	0
196	74.70000000	0.00000000	good	2.93648434	94	960.00000000	0.7 spk/s		4455	0
197	33.10000000	100.00000000	mua	2.59235191	94	960.00000000	1.3 spk/s		7757	0
198	37.90000000	4.70000000	good	3.20973110	95	960.00000000	5.7 spk/s		34176	0
